Security Name,Symbol,Shares,Weight(%),52 Wk Change(%)
Axis Bank Ltd,AXISBANK,"4,265,577",0.08,NA
ANTA Sports Pro,2020,"2,116,673",0.08,NA
Daiwa House Ind,1925,"1,199,729",0.08,NA
RWE AG,RWE,"1,177,013",0.08,NA
Saudi Basic Ind,2010,"1,266,740",0.08,NA
Japan Tobacco I,2914,"2,197,775",0.08,NA
Telefonica SA,TEF Quick QuoteTEF,"9,274,458",0.08,-3.48
NetEase Inc,NTES Quick QuoteNTES,"519,296",0.08,-14.13
Aristocrat Leis,ALL Quick QuoteALL,"1,195,868",0.08,7.58
Bank Central As,BBCA Quick QuoteBBCA,"18,128,199",0.08,0.00
Sysmex Corp,6869,"354,018",0.08,NA
Nan Ya Plastics,1303,"10,553,615",0.07,NA
Fortis Inc./Can,FTS Quick QuoteFTS,"878,288",0.07,13.52
Kyocera Corp,6971,"577,121",0.07,NA
Swedbank AB,SWED,"1,874,938",0.07,NA
Essity AB,ESSITY,"1,139,829",0.07,NA
Worldline SA/Fr,WLN,"457,898",0.07,NA
Intact Financia,IFC,"265,985",0.07,NA
Kerry Group plc,KRZ,"287,360",0.07,NA
Formosa Plastic,1301,"9,104,873",0.07,NA
Grupo Financier,GFNORTEO,"5,420,718",0.07,NA
Eisai Co. Ltd,4523,"493,674",0.07,NA
Segro plc,SGRO,"2,253,106",0.07,NA
Fresenius SE & ,FRE,"761,739",0.07,NA
Bharti Airtel L,BHARTIARTL,"4,273,668",0.07,NA
Aviva plc,AV,"7,332,455",0.07,NA
Coloplast A/S,COLO,"249,308",0.07,NA
Akzo Nobel NV,AKZA,"348,440",0.07,NA
Universal Music,UMG,"1,385,484",0.07,NA
Asahi Group Hol,2502,"786,550",0.07,NA
Shionogi & Co. ,4507,"509,897",0.07,NA
Suzuki Motor Co,7269,"846,097",0.07,NA
Imperial Brands,IMB,"1,758,852",0.07,NA
Aeon Co. Ltd,8267,"1,314,885",0.07,NA
UPM-Kymmene Oyj,UPM,"993,398",0.07,NA
Omron Corp,6645,"348,903",0.07,NA
Delta Electroni,2308,"4,049,676",0.07,NA
Zalando SE,ZAL,"409,024",0.07,NA
China Mengniu D,2319,"5,786,504",0.07,NA
Sonova Holding ,SOON,"99,263",0.07,NA
HCL Technologie,HCLTECH,"2,032,621",0.07,NA
CGI Inc,GIB.A,"414,322",0.07,NA
Asian Paints Lt,ASIANPAINT,"843,800",0.07,NA
Skandinaviska E,SEB Quick QuoteSEB,"2,719,235",0.07,18.63
Restaurant Bran,QSR Quick QuoteQSR,"565,967",0.07,-9.60
Vale SA,VALE Quick QuoteVALE,"2,577,301",0.07,-10.60
Stellantis NV,STLA Quick QuoteSTLA,"2,050,937",0.07,18.71
Thomson Reuters,TRI Quick QuoteTRI,"314,555",0.07,28.71
First Abu Dhabi,FAB Quick QuoteFAB,"8,171,021",0.07,0.00
Flutter Enterta,FLTR Quick QuoteFLTR,"193,887",0.07,0.00
FirstRand Ltd,FSR Quick QuoteFSR,"9,180,073",0.07,-18.62
ArcelorMittal S,MT Quick QuoteMT,"1,188,506",0.07,35.62
Magna Internati,MG Quick QuoteMG,"524,720",0.07,-15.52
Orange SA,ORA Quick QuoteORA,"3,595,902",0.07,-29.72
Afterpay Ltd,APT Quick QuoteAPT,"417,977",0.07,-62.35
ASM Internation,ASM Quick QuoteASM,"89,706",0.07,-33.13
LafargeHolcim L,HOLN,"793,479",0.07,NA
Credit Agricole,ACA Quick QuoteACA,"2,295,575",0.06,-22.82
Bilibili Inc,BILI Quick QuoteBILI,"470,312",0.06,-71.77
Atlas Copco AB,ATCO Quick QuoteATCO,"663,829",0.06,24.24
Eurofins Scient,ERF Quick QuoteERF,"228,368",0.06,201.10
Svenska Handels,SHB,"2,749,196",0.06,NA
Shenzhou Intern,2313,"1,413,249",0.06,NA
Saudi Telecom C,7010,"898,950",0.06,NA
Kuaishou Techno,1024,"2,895,800",0.06,NA
Unicharm Corp,8113,"728,378",0.06,NA
Kia Corp,270,"479,626",0.06,NA
Repsol SA,REP,"2,441,747",0.06,NA
Rolls-Royce Hol,RR,"15,692,305",0.06,NA
Larsen & Toubro,LT,"1,286,390",0.06,NA
CK Hutchison Ho,1,"5,044,599",0.06,NA
Straumann Holdi,STMN,"18,846",0.06,NA
Symrise AG,SY1,"236,216",0.06,NA
Lasertec Corp,6920,"142,240",0.06,NA
Toshiba Corp,6502,"809,485",0.06,NA
H & M Hennes & ,HM,"1,628,048",0.06,NA
Link REIT,823,"3,910,725",0.06,NA
Sumitomo Corp,8053,"2,098,227",0.06,NA
Fortescue Metal,FMG,"2,977,471",0.06,NA
Hong Kong & Chi,3,"20,380,110",0.06,NA
Z Holdings Corp,4689,"4,826,622",0.06,NA
Veolia Environn,VIE,"957,526",0.06,49.49
Sunny Optical T,2382,"1,221,418",0.06,NA
Advantest Corp,6857,"370,741",0.06,NA
MS&AD Insurance,8725,"881,448",0.06,NA
Woodside Petrol,WPL,"1,795,726",0.06,NA
Kuehne + Nagel ,KNIN,"93,951",0.06,NA
Sartorius AG,SRT3,"46,403",0.06,NA
